name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,0,False,False
Shop on eBay,2000,Brand New,0,False,False
KAKA Industrial GD-40 Gear Head Vertical Drill Press Drilling Tapping Machine,504500,Brand New,35900,False,False
KAKA Industrial GD-25B Gear Head Vertical Drill Press,262300,Brand New,16900,False,False
"HFS(R) 3"" Cross Slide Vise Drill Press 2 Way X - Y Heavy Duty Clamp Machine",5199,Brand New,0,False,67
10-Inch 5-Speed Benchtop Drill Press Cast Iron Drill Press 3.2A,10599,Brand New,0,True,166
VEVOR 10-Inch 5-Speed Benchtop Drill Press Cast Iron Drill Press 3.2A,11199,Brand New,0,True,57
8 in Benchtop Drill Press Tabletop Drilling Machine 750-3200RPM Adjustable,7999,Brand New,0,True,71
"Master Mechanic 10"" Bench Mount Drill Press w/5 Speed 5/8HP Motor (Open Box)",9393,Open Box,0,False,False
12-Inch Benchtop Drill Press Cast Iron Drill Press 5 Amp Variable Speed,27299,Brand New,0,False,36
10-Inch 5-Speed Benchtop Drill Press Cast Iron Drill Press 3.2A,10599,False,0,False,166
VEVOR 10-Inch 5-Speed Benchtop Drill Press Cast Iron Drill Press 3.2A,11199,False,0,False,57
Magnetic Drill Press 1300W Low Profile Mag Drill Light Weight Portable,27999,False,0,False,65
"11HSS Bits Magnetic Drill 1450W 12500N Portable Mag Drill Press 850RPM 1.6""",20199,False,0,False,402
10in Benchtop Drill Press Tabletop Drilling Machine 610-2800RPM Adjustable,13999,False,0,False,False
MD50 Magnetic Drill 1550W 2922lbf/13000N Portable Mag Drill Press 500RPM,15999,False,0,False,672
Muti-Purpose MD40 Magnetic Drill 1300W 2922lbf/13000N Mag Drill Press 810RPM,12499,False,0,False,278
Magnetic Drill 1450W 12800N Portable Mag Drill Press 800RPM,23999,False,0,False,118
Milescraft 1318 Drill Mate Portable Drill Press Guideb Jig Multi Angle Settings,2790,Brand New,0,True,53
Mini Drill Press Bench Small electric Drill Machine Work Bench Variable Speed,5544,Brand New,0,True,False
"11HSS Bits Magnetic Drill 1450W 12500N Portable Mag Drill Press 850RPM 1.6""",20199,Brand New,0,True,402
Magnetic Drill 1450W 12800N Portable Mag Drill Press 800RPM,23999,Brand New,0,True,118
4-Inch Drill Press X-Y Compound Vise 2 Way Heavy Duty Cross Slide Vise Clamp Mac,5999,Brand New,0,False,False
3-Inch Drill Press X-Y Compound Vise 2 Way Heavy Duty Cross Slide Vise Clamp,4599,Brand New,0,False,False
MAGSWITCH Pro Drill press Fence 21 inches long by 4 5/16 Magnetic Mount and Stop,28800,Brand New,3185,False,False
Industrial Strength Benchtop 4.25 inch and Drill Press Tilting Angle Vise New,4452,Brand New,0,True,False
10in Benchtop Drill Press Tabletop Drilling Machine 610-2800RPM Adjustable,13999,Brand New,0,True,False
"Klutch 13in. Benchtop Drill Press, 3/4 HP, 120 Volts, 5/8in. Chuck w/1in.",19999,Brand New,0,False,False
