name,price,status,shipping,free_returns,items_sold
Hex 5/32 1 inch Insert Bit (15 Pack),1347,Brand New,0,False,False
"XtremepowerUS 8PC HSS Cobalt Silver & Deming Drill Bits Set- Large Size 9/16""",3995,Brand New,0,True,False
Stalwart 89pc 18V Cordless Power Drill Set with Rechargeable Battery and Charger,5390,Brand New,0,True,False
"DEWALT DCD706F2 XTREME 12V MAX Brushless Li-Ion 3/8"" Hammer Drill Kit (2Ah) New",False,Brand New,0,True,False
Cordless Brushless Impact Driver Hammer Drill Combo Kit with 2 Battery & Charger,3218,Brand New,0,True,439
Cordless Brushless Impact Driver Hammer Drill Combo Kit with 2 Battery & Charger,3059,Brand New,0,True,369
RYOBI ONE+ HP 18V Brushless Cordless Compact 1/2in. Drill/Driver Kit with (2),7500,Open Box,0,True,False
20-Volt Drill 2 Speed Electric Cordless Drill / Driver with Bits Set & Battery,24993559,Brand New,0,True,76
"DEWALT DCD771C2 20V MAX Li-Ion 1/2"" Drill Driver Kit Certified Refurbished",10999,False,0,False,96
Cordless Brushless Impact Driver Hammer Drill Combo Kit with 2 Battery & Charger,3218,False,0,False,439
Cordless Brushless Impact Driver Hammer Drill Combo Kit with 2 Battery & Charger,3059,False,0,False,369
"New Dewalt DCD999B 20V Max XR 1/2"" Flexvolt Advantage Brushless Hammer Drill ",12499,False,0,False,1863
21V Electric Drill Power Tool Cordless Screwdriver 34PCS Drill Set with Battery,4079,False,0,False,279
Electric Drill Power Tool Cordless Screwdriver Power Tools Drill Set W/ Battery,2499,False,0,False,False
"ACDelco 20V Cordless Drill Set, 2 Variable Speed, 400/1300RPM, Driver Bits",3999,False,0,False,False
DeWalt DCD771C2 20V MAX Lithium-Ion Compact Drill/Driver Kit with 2 Batteries,False,False,0,False,False
"Milwaukee 2904-20 M18 FUEL 1/2"" Hammer Drill/Driver (Tool only)",12499,Brand New,0,True,8934
20-Volt Drill 2 Speed Electric Cordless Drill / Driver with Bits Set & Battery,24993559,Brand New,0,False,85
"DEWALT DCD805B 20V MAX XR Lithium-ion 1/2"" Brushless Compact Hammer Drill Driver",8995,Brand New,0,True,283
21Volt Drill 2 Speed Electric Cordless Drill / Driver with Bits Set & Battery,28993399,Brand New,0,False,False
"13PCS HSS-G M2 Twist Drill Bit Set Metal Titanium 1/16""-1/4"" Hex Shank Bits Kit",1469,Brand New,0,True,862
11pcs/box Diamond Hole Saw Kit Core Drilling Bit Set for Porcelain  Marble Tile,7120,Brand New,0,True,False
Stalwart 78pc 18V Cordless Power Drill Set with Rechargeable Battery and Charger,4498,Brand New,0,True,False
"Drilax 1mm Diamond Drill Bits for Glass, Stone, Sea Glass, Shells & Gemstones",2194,Brand New,0,False,237
21V Cordless Drill Driver Combi Fast Charger HomeDIY Gardening Electric Tools US,3299,Brand New,0,False,91
Cordless Brushless Impact Driver Hammer Drill Combo Kit with 2 Battery & Charger,2990,Brand New,0,True,83
BLACK+DECKER LDX120C 20V Max Lithium-Ion Cordless 3/8 inch Drill NO BATTERY,2399,Brand New,0,False,187
"DEWALT DCD777B 20V MAX Li-ion 1/2"" Keyless Cordless Brushless Drill Driver",6695,Brand New,0,True,40
Makita LXT 18V LXT Li-Ion 1/2 in. Drill Driver XFD10Z-R Certified Refurbished,6964,Certified - Refurbished,0,False,False
Bosch GSR18V-190B22-RT 18V 1/2 in. Drill Kit Certified Refurbished,8586,Certified - Refurbished,0,False,False
"Bosch PS31-2A-RT 3/8"" 12V Max Li-Ion Cordless Drill Driver Certified Refurbished",8686,Certified - Refurbished,0,False,False
"DEWALT DCD771C2 20V MAX Li-Ion 1/2"" Drill Driver Kit Certified Refurbished",10999,Certified - Refurbished,0,False,False
DeWalt Impact Drill Train Air Horn 20v + Remote Control: BossHorn USA,26500,Brand New,0,False,False
Milwaukee Impact Drill M18 Train Horn + Wireless Remote Control,26500,Brand New,0,False,False
WORKPRO 8V Pink Cordless Drill Driver 43PCS Tool Set Lithium-ion Power Drill Bit,6399,Brand New,0,False,False
For Ryobi 18V Drill Train 4 Horn Quad Black Air Trumpets with Battery +Charger,16888,Brand New,0,False,False
Cordless Brushless 3/8 in. Drill Driver for Dewalt 20V Max Battery TOOL ONLY,2699,Brand New,0,False,False
For DeWalt DCB206 20V Max XR Brushless 2-Speed Cordless 1/2 in Hammer Drill 20 V,3629,Brand New,0,False,False
"Ryobi PCL206K2 ONE+ 18V 1/2"" Drill/Driver Kit",6193,Open Box,0,False,False
"Milwaukee 2904-22 M18 FUEL™ 1/2"" Hammer Drill/Driver Kit",23000,Brand New,0,False,False
"DEWALT DCD771C2 20V MAX Li-Ion 1/2"" Drill Driver Kit Certified Refurbished",10999,Certified - Refurbished,0,True,96
"HART 1/2"" Drill Driver 20 volt 20V 2 Speed Cordless HPDD01 (*TOOL ONLY*)",1701,Open Box,0,False,57
DeWalt DCD998 20V Max XR Brushless 1/2 Hammer Drill 20 Volt,11697,Open Box,0,True,1149
2025 Cordless Combi Hammer Impact Drill Driver Electric Screwdriver w/ 2 Battery,2589,Brand New,0,True,False
"DEWALT 20V MAX* XR® Brushless Cordless 1/2 in. Drill/Driver Kit (DCD800P1),",14586,Brand New,0,True,30
"New Dewalt DCD771B 20 Volt 20V Max 1/2"" 2 Speed Drill Driver Li-ion Cordless",5619,Brand New,0,True,163
21V Cordless Hammer Drill Set Electric Impact Driver Screwdriver with 2 Battery,3198,Brand New,0,False,False
15 in 1 Power Tool Rechargeable Cordless Electric Screwdriver Drill Kit Wireless,1089,Brand New,0,False,68
Drilax Diamond Drill Bit Hole Saw Set Drilling 3/8 1/2 5/8 3/4 1 Granite Ceramic,1499,Brand New,0,False,False
Agrotk 12in Drill Bit Auger Mini Excavator Attachment 12EX-300Adrill,32500,Brand New,0,False,False
Cobalt 1/8 drill bit (10 Pack),1597,Brand New,0,False,False
Diamond Drilling Bit Kit Hole Saw Set for Tile Granite Triangle Shank 11pcs/set,5873,Brand New,0,True,False
"NEW - DeWalt DCD1007B 20V 1/2"" HEAVY DUTY Compact Hammer Drill  & 13"" FREE BAG",17400,Open Box,0,True,False
For DeWalt DCB206 20V Max XR Brushless 2-Speed Cordless 1/2 in Hammer Drill 20 V,3629,Brand New,0,True,85
48V Cordless Drill W/ Battery Heavy Duty Impact Driver Kit Brushless Power Tool,2889,Brand New,0,True,False
"NEW Milwaukee FUEL 2904-20 18V 1/2"" Cordless Brushless Hammer Drill M18",12397,Brand New,0,True,265
"New DEWALT DCD805B 20V 20 Volt MAX XR Brushless 1/2"" Hammer Drill Driver",8499,Brand New,0,False,487
Dewalt 20 V Max Li-Ion Compact Drill/driver Kit,9900,Brand New,649,True,160
Triangle Shank Diamond Drilling Bit Kit 11pcs Hole Saw Set for Tile Granite,5873,Brand New,0,True,False
21V Cordless Electric Drill Set 2 Batteries 3/8-Inch Chuck Driver Bits and Tool,4299,Brand New,0,False,False
DEWALT DCD999 20V Cordless Hammer Drill FLEXVOLT 60/20V  (TOOL ONLY),10399,Brand New,0,False,464
RYOBI  HP 18V Brushless Cordless 1/2 in. Drill/Driver and Impact Driver Kit w/,12500,Open Box,0,True,18
DeWalt DCD996 20V Max XR Brushless 3-Speed Cordless 1/2 Hammer Drill 20 Volt,12297,Open Box,0,True,3724
"New Dewalt DCD999B 20V Max XR 1/2"" Flexvolt Advantage Brushless Hammer Drill ",12499,Brand New,0,True,1863
Hart HPDD02 20-Volt Cordless 1/2-inch Drill/Driver - Tool Only - Free Shipping!,1497,Brand New,0,False,False
RYOBI ONE+ 18V Cordless 3/8 in. Drill/Driver Kit with 1.5 Ah Battery and Charger,3899,Pre-Owned,0,True,478
"DEWALT DCD460T2 60V  1/2""  Joist Drill with E-Clutch System Kit With 2 Batts",45999,Open Box,2000,True,False
DeWalt DCD777B 20V MAX Brushless Cordless 1/2 in. Drill/Driver (Tool Only),6349,Brand New,0,False,156
"Milwaukee 3601-20 M18 Brushless 1/2"" Drill/ Driver**Tool Only***",6899,Open Box,0,False,145
"RYOBI PSBDD02 ONE+ 18V Brushless Compact 1/2"" in. Drill / Driver - New",4499,Open Box,0,True,False
21V Electric Drill Power Tool Cordless Screwdriver 34PCS Drill Set with Battery,4079,Brand New,0,False,279
NEW DEWALT DCD999 20v MAX 1/2” 3 Speed Hammer Drill Flexvolt Adv Dcd999b 20 Volt,10150,Open Box,0,False,44
DeWALT DCD999T1 20V MAX Cordless 1/2 in. Hammer Drill/Driver Kit - NEW!,21999,Brand New,0,True,56
RYOBI ONE+ 18V 3/8 in Drill/Driver Kit 1.5 Ah Battery & Charger PCL201K1 (OB),4180,Open Box,0,True,False
Cordless Brushless Impact Driver Hammer Drill Combo Kit with 2 Battery & Charger,3198,Brand New,0,False,69
