name,price,status,shipping,free_returns,items_sold
"LeBron James Uninterrupted - Chosen UN Snapback Hat, Royal Blue/Red (Authentic)",6500,Brand New,1299,False,False
LeBron James: 2025 Topps Now Basketball 50k Career Points #12 In Hand,399,Pre-Owned,0,False,False
"LeBron James Uninterrupted - Chosen UN Snapback Hat, Wh/Burnt Orange (Authentic)",6500,Brand New,1299,False,False
New Listing,12500,Brand New,1495,False,False
LeBron James 2018-19 Panini Revolution B #40 Los Angeles Lakers,325,Pre-Owned,0,False,214
2024-25 Panini Donruss Basketball Pick Your Insert - Buy More & Save,149349,Pre-Owned,25,False,False
2024-25 Panini Instant NBA #476 Reaves LeBron James Luka Doncic Lakers PRESALE,749,Pre-Owned,0,False,False
"LeBron James Uninterrupted - Chosen UN Snapback Hat, Royal Blue/ORG (Authentic)",6500,Brand New,1299,False,False
2024-25 Panini Prizm Basketball Pick Insert Complete Your Set - Buy More & Save,149599,Pre-Owned,25,False,False
2023-24 Panini Prizm Basketball Base - Choose Your Card - Free Shipping!,99,Pre-Owned,0,False,False
New Listing,19500,Brand New,1495,False,False
New Listing,2999,Brand New,1107,False,False
"LeBron James Action Figure Lot w/over 150 LeBron James cards,from 2003-2025",250000,Brand New,822,False,False
Adidas Official NBA Youth Black Miami Heat Lebron James 6 Tshirt Tee Sz M 10/12,1836,Brand New,0,True,False
Lebron James Nike XIII All-Star 6.5 Youth Alligator Green *PRE-OWNED*,5000,Pre-Owned,1000,False,False
LeBron James Los Angeles Lakers Light Blue Nike Classic Edition Swingman Jersey,24999,Brand New,871,False,False
CHEAPEST 2024 TOPPS NOW OLYMPICS #26 LEBRON JAMES DURANT STEPH CURRY PSA 10,3999,New (Other),0,False,False
2024-25 Panini Donruss Basketball BASE & RC 1-250 Complete your set - You pick,149469,Pre-Owned,0,False,9
New Listing,695,Pre-Owned,0,False,False
2024-25 Panini Prizm Basketball Pick Your Vet & Legends #1-300 - Buy More & Save,129999,Pre-Owned,25,False,False
New Listing,1999,Brand New,599,False,False
New Listing,23000,Brand New,1495,False,False
Nike LeBron XIX - “Pearl White/University Gold” - Size 13 (New) - *Box Damage*,8500,Brand New,1495,False,False
Lebron James 2019-20 Contenders NBA Basketball - #70 - Los Angeles Lakers,99,Pre-Owned,99,False,False
"2024-25 Panini Instant NBA 50,000 50k Career Points #404 LeBron James PRESALE",699,Pre-Owned,0,False,38
New Listing,24999,Pre-Owned,1242,False,False
2024-25 NBA Hoops Skyview **COMPLETE YOUR SET (1-25)**,100400,Pre-Owned,75,False,False
Zuru 5 Surprise NBA Ballers ~ You Pick ~,67511000,Brand New,484,False,22
1 Lebron James Card +6 Modern Cards NBA HOT Pack Repack Rookies! Mystery Pack!,998,Brand New,0,False,False
Red Lebron 14,9000,Brand New,1495,False,False
Size 7 - Nike LeBron 21 Conchiolin,7000,Brand New,0,False,False
Nike Lebron 2 LX Animal Beast Black DQ2439-200 Multiple Sizes No box tops,8495,Brand New,1495,False,False
2024-25 Donruss Basketball UNLEASHED insert Complete your set - You pick Card,189469,Pre-Owned,0,False,False
2024-25 Panini Donruss Basketball Pick Your Silver Press Proof - Buy More & Save,139499,Pre-Owned,25,False,False
New Listing,199,Pre-Owned,99,False,False
2024-25 Panini Prizm NBA Basketball Inserts Complete Your Set Pick Your Card,99599,Pre-Owned,69,False,False
LeBron James: 2025 Topps Now Basketball 50k Career Points #12,612,Pre-Owned,0,False,False
LeBron James 2025 Topps NOW Basketball 50k Career Points #12 Lakers,500,Pre-Owned,125,False,False
New Listing,18499,Brand New,1495,False,False
Nike Lebron XIX 19 Low Men's Basketball Shoes. Black White Red. Size-US 10 D,8999,Brand New,1495,True,False
2023-24 Panini NBA Hoops Base Complete Your Set You Pick Basketball Card #1-300,99149,Pre-Owned,0,False,11
2024/25 NBA Hoops Basketball Cards 1-230 You Pick- Up to 20% off free shipping,99199,Pre-Owned,0,False,False
2024-25 Donruss Basketball CRUNCH TIME insert Complete your set - You pick Card,219349,Pre-Owned,0,False,False
New Listing,5000,Pre-Owned,799,False,False
24-25 Hoops Basketball Stars/Veterans Complete Your Set (4/3/25),99299,Pre-Owned,90,False,False
New Listing,3000,Pre-Owned,0,False,False
2023-24 Phoenix NBA Basketball Inserts Complete Your Set Pick Your Card,99199,Pre-Owned,69,False,False
Nike Lebron XXI 21 Basketball Shoe Purple Rain FV2345-500 Men's Size 10.5,8995,Brand New,1495,True,False
New Listing,12998,New (Other),1495,True,False
Nike LeBron 8 Retro 'South Beach' 2021 CZ0328-400,1400033000,Brand New,1495,False,False
New Listing,20000,Brand New,1495,False,False
2023-24 Hoops Premium Stock NBA Inserts Complete Your Set Pick Your Card,99299,Pre-Owned,69,False,False
New Listing,16999,New (Other),1495,False,False
Funko Pop! Vinyl: Space Jam - Lebron James #1182,690,Brand New,0,False,False
2024-25 NBA Hoops Frequent Flyers **COMPLETE YOUR SET (1-15)**,100250,Pre-Owned,75,False,False
New Listing,9999,Brand New,1495,False,False
2024-25 Donruss NBA WINTER Base Singles #1-250 Complete Your Set Pick Your Card,99299,Pre-Owned,69,False,False
LeBron James 2025 Topps Now Basketball 50k Career Points #12 LA Lakers,595,Pre-Owned,125,False,False
New Listing,4968,Pre-Owned,1199,False,False
New Listing,16625,New (Other),1495,False,False
New Listing,4000,Pre-Owned,1000,False,False
2024-25 Panini NBA Hoops Basketball Base Complete Your Set Singles #1-230 PYC,99,Pre-Owned,69,False,False
New Listing,3169,Pre-Owned,1094,False,False
New Listing,3900,Pre-Owned,1199,False,False
New Listing,3999,Pre-Owned,1171,False,False
New Listing,2295,Pre-Owned,995,False,False
Nike LeBron James Witness VI 6 South Beach Emerald Green Pink CZ4052-300 sz 13,5999,Brand New,0,False,12
2025 TOPPS NOW LEBRON JAMES 50K CAREER POINTS #12 LOS ANGELES LAKERS,399,Pre-Owned,100,False,False
2015-16 Panini Prizm LeBron James #125,825968,Pre-Owned,299,False,False
James LeBron MEN Stitched Jersey Purple,35493949,Brand New,599,False,False
New Listing,7500,Pre-Owned,1495,False,False
Size 10 - Nike LeBron 11 Independence Day,5000,Pre-Owned,484,False,False
New Listing,5995,Pre-Owned,2832,False,False
Nike LeBron James NXXT Orewood Brown Coral Chalk Pink Basketball Men’s Size 10,8500,Brand New,0,False,False
"Nike Lebron 19 Shoes ""Greatness"" Phantom Canyon Purple CZ0203-004 Men Size 10",9800,New (Other),1495,False,False
Nike LeBron 21 Conchiolin White Black James Basketball Retro HF5841-100 Men Size,8990,Brand New,1495,False,False
James LeBron MEN Stitched Jersey Purple,35493949,Brand New,599,False,False
